user_id,user_location,tweet_created_at,tweet_id,;;
1014683070,Roma Lazio,2021-01-07 16:44:33,1347222601618362368,;;
1188843954432811010,Trapani Sicilia ,2021-01-07 16:44:36,1347222614859800578,;;
420626048,Bologna Italia,2021-01-07 16:44:36,1347222615556022272,;;
191600621,Napoli Campania,2021-01-07 16:44:57,1347222704894652419,;;
482807298,Roma Lazio,2021-01-07 16:44:59,1347222710540242945,;;
1336364804970336256,Roma❤💛,2021-01-07 16:45:04,1347222735085309954,;;
362055145,Giavera del Montello Veneto,2021-01-07 16:45:06,1347222742328860674,;;
988333316,Torino Piemonte,2021-01-07 16:45:10,1347222758258835459,;;
2385068164,Trieste Friuli-Venezia Giulia,2021-01-07 16:45:11,1347222762188926982,;;
1333804912396951552,Saint-Raphaël France,2021-01-07 16:45:18,1347222793168035841,;;
1918247922,nel fluire disperante,2021-01-07 16:45:29,1347222840064569345,;;
2200602899,Sorso,2021-01-07 16:45:34,1347222860427911168,;;
214031079,Roma Lazio,2021-01-07 16:45:51,1347222931370201090,;;
420626048,Bologna Italia,2021-01-07 16:45:52,1347222933865963523,;;
2385068164,Trieste Friuli-Venezia Giulia,2021-01-07 16:45:53,1347222937544306688,;;
1239553189671841798,Genova Liguria,2021-01-07 16:45:54,1347222944884416512,;;
2306026763,Bamberg Bayern,2021-01-07 16:45:56,1347222950987128833,;;
995538919,Rimini Emilia Romagna,2021-01-07 16:46:08,1347223000228179969,;;
935155932861992960,Aviano Friuli-Venezia Giulia,2021-01-07 16:46:08,1347223001373270016,;;
2259346508,Aosta Valley,2021-01-07 16:46:16,1347223035426828288,;;
1440863360,Roma Lazio,2021-01-07 16:46:17,1347223038471921666,;;
362055145,Giavera del Montello Veneto,2021-01-07 16:46:26,1347223078187757570,;;
423536846,Roma,2021-01-07 16:46:30,1347223092704243715,;;
935155932861992960,Aviano Friuli-Venezia Giulia,2021-01-07 16:46:31,1347223099373195272,;;
1084470709437583360,Bologna Emilia Romagna,2021-01-07 16:46:34,1347223111528275969,;;
191600621,Napoli Campania,2021-01-07 16:46:35,1347223114057474049,;;
2259346508,Aosta Valley,2021-01-07 16:46:35,1347223115114414080,;;
1453660656,Capoterra,2021-01-07 16:46:36,1347223117798780933,;;
802955857201954820,Palermo Sicilia,2021-01-07 16:46:51,1347223181686427650,;;
1216148624243118080,Napoli Campania,2021-01-07 16:46:53,1347223191543013377,;;
423536846,Roma,2021-01-07 16:46:53,1347223191689822210,;;
2351215700,Siracusa Sicilia,2021-01-07 16:46:55,1347223197704482817,;;
1453660656,Capoterra,2021-01-07 16:47:04,1347223235197366274,;;
1146673888891457537,Roma Lazio,2021-01-07 16:47:19,1347223301110816769,;;
90246703,Sabaudia Lazio,2021-01-07 16:47:20,1347223303627411456,;;
1476710496,sempre forza napoli,2021-01-07 16:47:26,1347223328164114435,;;
448233790,Montepulciano Palermo Verona,2021-01-07 16:47:26,1347223330395451392,;;
4468775656,seduto..,2021-01-07 16:47:30,1347223347537522688,;;
763399488878804996,Rovigo Veneto,2021-01-07 16:47:35,1347223368169349124,;;
632317471,Torino Piemonte,2021-01-07 16:47:41,1347223390340472833,;;
3008542859,Lombardia Italia,2021-01-07 16:47:43,1347223400746541057,;;
2259346508,Aosta Valley,2021-01-07 16:47:48,1347223421567045636,;;
255972487,Cervia,2021-01-07 16:47:50,1347223430874202113,;;
1333804912396951552,Saint-Raphaël France,2021-01-07 16:47:51,1347223435391475714,;;
3315105982,Roma Lazio,2021-01-07 16:47:56,1347223456866304000,;;
995538919,Rimini Emilia Romagna,2021-01-07 16:48:04,1347223486511656960,;;
1918247922,nel fluire disperante,2021-01-07 16:48:04,1347223487073685506,;;
461476987,Roma,2021-01-07 16:48:13,1347223527666151426,;;
2333536199,Gorizia Friuli-Venezia Giulia,2021-01-07 16:48:20,1347223555524726787,;;
486138911,Balcone di Babilonia,2021-01-07 16:48:43,1347223651691716609,;;
911583739125338112,Codroipo Friuli-Venezia Giulia,2021-01-07 16:48:51,1347223683950063618,;;
268158331,Parma Italy,2021-01-07 16:48:53,1347223694729424897,;;
2657512986,Roma,2021-01-07 16:49:03,1347223734353080327,;;
1585382150,Milan,2021-01-07 16:49:05,1347223746147471365,;;
546728528,Pescara,2021-01-07 16:49:33,1347223860987502592,;;
1146673888891457537,Roma Lazio,2021-01-07 16:49:40,1347223892805505024,;;
879276528097427456,Feltre Veneto Italy,2021-01-07 16:49:42,1347223901210890243,;;
426053339,Firenze,2021-01-07 16:49:48,1347223926028558338,;;
1058824483069456384,Ortisei Trentino-Alto Adige,2021-01-07 16:49:49,1347223928662609921,;;
1012357856744665094,La Spezia - Italia,2021-01-07 16:49:49,1347223930482941957,;;
747479025745072128,烏野高校 ~ Karasuno High,2021-01-07 16:49:51,1347223935826472969,;;
435220751,Milano,2021-01-07 16:49:55,1347223955753594883,;;
2259346508,Aosta Valley,2021-01-07 16:50:00,1347223973541634051,;;
87558361,napoli,2021-01-07 16:50:01,1347223977689755649,;;
480612566,roma,2021-01-07 16:50:02,1347223984589459457,;;
911583739125338112,Codroipo Friuli-Venezia Giulia,2021-01-07 16:50:18,1347224051807383555,;;
984608412,padova e appenn.tosco-emiliano,2021-01-07 16:50:32,1347224109483220992,;;
4468775656,seduto..,2021-01-07 16:50:33,1347224113572675587,;;
720213203381264384,Via dell'albereto 16 Calenzano,2021-01-07 16:50:41,1347224147374469122,;;
3294215278,Bergamo,2021-01-07 16:50:41,1347224147450081280,;;
337551671,Roma Lazio,2021-01-07 16:50:43,1347224154223882248,;;
1337345891695554561,Roma Lazio,2021-01-07 16:50:45,1347224162956357635,;;
461058052,roma,2021-01-07 16:50:48,1347224177405788161,;;
480612566,roma,2021-01-07 16:50:49,1347224180870279172,;;
2370034936,Alba Piemonte,2021-01-07 16:51:02,1347224234448314369,;;
1146673888891457537,Roma Lazio,2021-01-07 16:51:12,1347224277360254978,;;
911363617290964992,Fiastra Marche,2021-01-07 16:51:12,1347224278165557252,;;
820742509102071809,venice,2021-01-07 16:51:18,1347224302928670727,;;
992280477921771521,Borgomanero Piemonte,2021-01-07 16:51:32,1347224362299121666,;;
1236533563,Ragusa,2021-01-07 16:51:33,1347224364861644802,;;
386695561,Granarolo dell'Emilia Emilia ,2021-01-07 16:51:38,1347224385229381632,;;
115167975,Italia Roma,2021-01-07 16:51:42,1347224402300166149,;;
435091016,Milano,2021-01-07 16:51:44,1347224412483956736,;;
1005101444385648641,Roma - Norcia ,2021-01-07 16:51:59,1347224472768675846,;;
958049200683569154,Ferrara Emilia Romagna,2021-01-07 16:52:02,1347224488291815426,;;
1038099159033802752,Piemonte Italia,2021-01-07 16:52:21,1347224564691034113,;;
105177916,Como (ITALY),2021-01-07 16:52:23,1347224573784322048,;;
471432995,Milano Lombardia,2021-01-07 16:52:29,1347224599621152769,;;
1167754860604874752,Milano Lombardia Italia,2021-01-07 16:52:42,1347224656286257154,;;
2196719777,Monza,2021-01-07 16:52:44,1347224663487901701,;;
1146673888891457537,Roma Lazio,2021-01-07 16:52:50,1347224689924583428,;;
150664329,Gorizia,2021-01-07 16:52:52,1347224696593514496,;;
1333804912396951552,Saint-Raphaël France,2021-01-07 16:52:54,1347224705741295623,;;
1146673888891457537,Roma Lazio,2021-01-07 16:53:18,1347224805511213059,;;
1227333289,Romagnolo,2021-01-07 16:53:27,1347224842639171589,;;
1248173640065126400,Toscana Italia,2021-01-07 16:53:29,1347224851170402304,;;
820742509102071809,venice,2021-01-07 16:53:53,1347224953129676811,;;
636560772,Roma Europa,2021-01-07 16:53:56,1347224965750382595,;;
984225106087104512,Palazzolo dello Stella,2021-01-07 16:53:59,1347224977670610946,;;
